"filename", "language", "Python", "HTML", "JSON", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\settings.py", "Python", 82, 0, 0, 0, 0, 0, 28, 32, 142
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\urls.py", "Python", 9, 0, 0, 0, 0, 0, 15, 2, 26
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\boutique\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\README.md", "Markdown", 0, 0, 0, 0, 155, 0, 0, 32, 187
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\iyzipay\__init__.py", "Python", 46, 0, 0, 0, 0, 0, 7, 5, 58
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\iyzipay\iyzipay_resource.py", "Python", 745, 0, 0, 0, 0, 0, 0, 150, 895
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\iyzipay\pki_builder.py", "Python", 37, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\api_test.py", "Python", 6, 0, 0, 0, 0, 0, 1, 5, 12
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\approve.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\cancel.py", "Python", 16, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\create_card.py", "Python", 21, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\create_limited_company_sub_merchant.py", "Python", 23, 0, 0, 0, 0, 0, 1, 6, 30
